id,name,descriptive_name,id_number,isic,producer,produce,produce_name,production_inputs,production_added_values,production_rate,production_quantity,production_material_efficiency,production_labour_efficiency,production_energy_efficiency,contact_name,contact_email,contact_phone,contact_phone2,contact_website,address,address_street,address_city,address_country,address_postal_code,total_inputs_cost,total_value_added,price
1,IMPORT,,92778,A2327_978_13,99999,2778,Rate Good,"{""A9999_999_999"": 863}","{""tariffs"": 49}",0,-1,,,,,,,,,,,,,,863,49,912
2,Involve Production,,4453,A2327_978_13,8892,2778,Including Good,"{""A1397_975_51074"": 12, ""A3790_132_63"": 33, ""A6178_413_70647"": 40}","{""minWages"": 8, ""bonusWages"": 6, ""wages"": 14, ""surplus"": 28}",55,30,,,,,,,,,,,,,,85,56,141
3,He Production,,4938,A2327_978_13,7078,2778,Gas Good,"{""A1397_975_51074"": 49, ""A2227_974_71103"": 44, ""A6178_413_70647"": 2, ""A3790_132_63"": 30}","{""minWages"": 5, ""bonusWages"": 1, ""wages"": 6, ""surplus"": 5}",9,93,,,,,,,,,,,,,,125,17,142
4,Data Production,,4135,A2327_978_13,8537,2778,Throughout Good,"{""A3790_132_63"": 7, ""A6178_413_70647"": 35}","{""minWages"": 7, ""bonusWages"": 4, ""wages"": 11, ""surplus"": 36}",43,90,,,,,,,,,,,,,,42,58,100
5,Himself Production,,4273,A2327_978_13,2159,2778,Necessary Good,"{""A3790_132_63"": 1, ""A6178_413_70647"": 32, ""A1397_975_51074"": 42, ""A2227_974_71103"": 17}","{""minWages"": 7, ""bonusWages"": 9, ""wages"": 16, ""surplus"": 19}",57,86,,,,,,,,,,,,,,92,51,143
6,IMPORT,,92596,A6178_413_70647,99999,2596,Treatment Good,"{""A9999_999_999"": 513}","{""tariffs"": 31}",0,-1,,,,,,,,,,,,,,513,31,544
7,Those Production,,4459,A6178_413_70647,4179,2596,Yourself Good,"{""A2227_974_71103"": 12, ""A3790_132_63"": 29}","{""minWages"": 15, ""bonusWages"": 4, ""wages"": 19, ""surplus"": 11}",72,64,,,,,,,,,,,,,,41,49,90
8,Wrong Production,,4423,A6178_413_70647,1165,2596,Senior Good,"{""A2327_978_13"": 13, ""A1397_975_51074"": 30, ""A2227_974_71103"": 46, ""A3790_132_63"": 15}","{""minWages"": 13, ""bonusWages"": 9, ""wages"": 22, ""surplus"": 13}",58,81,,,,,,,,,,,,,,104,57,161
9,Mr Production,,4315,A6178_413_70647,8023,2596,Task Good,"{""A2327_978_13"": 48, ""A3790_132_63"": 36, ""A1397_975_51074"": 8}","{""minWages"": 5, ""bonusWages"": 4, ""wages"": 9, ""surplus"": 29}",56,48,,,,,,,,,,,,,,92,47,139
10,Time Production,,4132,A6178_413_70647,9398,2596,You Good,"{""A3790_132_63"": 6, ""A2327_978_13"": 38, ""A2227_974_71103"": 30, ""A1397_975_51074"": 46}","{""minWages"": 5, ""bonusWages"": 4, ""wages"": 9, ""surplus"": 23}",2,41,,,,,,,,,,,,,,120,41,161
11,IMPORT,,92138,A2227_974_71103,99999,2138,Listen Good,"{""A9999_999_999"": 437}","{""tariffs"": 27}",0,-1,,,,,,,,,,,,,,437,27,464
12,Listen Production,,4166,A2227_974_71103,7753,2138,Development Good,"{""A1397_975_51074"": 40, ""A6178_413_70647"": 7, ""A2327_978_13"": 12}","{""minWages"": 12, ""bonusWages"": 0, ""wages"": 12, ""surplus"": 33}",52,85,,,,,,,,,,,,,,59,57,116
13,Natural Production,,4366,A2227_974_71103,4484,2138,Traditional Good,"{""A1397_975_51074"": 16, ""A6178_413_70647"": 22, ""A3790_132_63"": 42, ""A2327_978_13"": 36}","{""minWages"": 7, ""bonusWages"": 6, ""wages"": 13, ""surplus"": 14}",51,47,,,,,,,,,,,,,,116,40,156
14,Expect Production,,4002,A2227_974_71103,4477,2138,Call Good,"{""A1397_975_51074"": 45, ""A3790_132_63"": 35}","{""minWages"": 8, ""bonusWages"": 5, ""wages"": 13, ""surplus"": 28}",96,39,,,,,,,,,,,,,,80,54,134
15,Poor Production,,4873,A2227_974_71103,8865,2138,Another Good,"{""A6178_413_70647"": 5, ""A1397_975_51074"": 11}","{""minWages"": 7, ""bonusWages"": 10, ""wages"": 17, ""surplus"": 8}",7,39,,,,,,,,,,,,,,16,42,58
16,IMPORT,,92056,A1397_975_51074,99999,2056,Hundred Good,"{""A9999_999_999"": 723}","{""tariffs"": 25}",0,-1,,,,,,,,,,,,,,723,25,748
17,Realize Production,,4839,A1397_975_51074,9493,2056,Probably Good,"{""A3790_132_63"": 42, ""A6178_413_70647"": 25, ""A2227_974_71103"": 18, ""A2327_978_13"": 15}","{""minWages"": 12, ""bonusWages"": 2, ""wages"": 14, ""surplus"": 6}",65,82,,,,,,,,,,,,,,100,34,134
18,Push Production,,4471,A1397_975_51074,7329,2056,Today Good,"{""A2327_978_13"": 11, ""A6178_413_70647"": 11, ""A3790_132_63"": 6, ""A2227_974_71103"": 23}","{""minWages"": 13, ""bonusWages"": 0, ""wages"": 13, ""surplus"": 22}",95,91,,,,,,,,,,,,,,51,48,99
19,Through Production,,4604,A1397_975_51074,2465,2056,Join Good,"{""A6178_413_70647"": 40, ""A3790_132_63"": 13, ""A2227_974_71103"": 4}","{""minWages"": 9, ""bonusWages"": 3, ""wages"": 12, ""surplus"": 38}",64,60,,,,,,,,,,,,,,57,62,119
20,Follow Production,,4496,A1397_975_51074,6958,2056,Box Good,"{""A2327_978_13"": 18, ""A2227_974_71103"": 50}","{""minWages"": 10, ""bonusWages"": 0, ""wages"": 10, ""surplus"": 18}",11,21,,,,,,,,,,,,,,68,38,106
21,IMPORT,,92211,A3790_132_63,99999,2211,Medical Good,"{""A9999_999_999"": 612}","{""tariffs"": 28}",0,-1,,,,,,,,,,,,,,612,28,640
22,Now Production,,4210,A3790_132_63,4724,2211,Born Good,"{""A1397_975_51074"": 7, ""A6178_413_70647"": 49}","{""minWages"": 8, ""bonusWages"": 2, ""wages"": 10, ""surplus"": 33}",37,28,,,,,,,,,,,,,,56,53,109
23,Someone Production,,4012,A3790_132_63,5698,2211,Method Good,"{""A2227_974_71103"": 18, ""A1397_975_51074"": 3, ""A2327_978_13"": 15}","{""minWages"": 5, ""bonusWages"": 7, ""wages"": 12, ""surplus"": 33}",26,42,,,,,,,,,,,,,,36,57,93
24,Mouth Production,,4303,A3790_132_63,3552,2211,Different Good,"{""A6178_413_70647"": 18, ""A2327_978_13"": 27, ""A1397_975_51074"": 4}","{""minWages"": 14, ""bonusWages"": 7, ""wages"": 21, ""surplus"": 34}",46,31,,,,,,,,,,,,,,49,76,125
25,Box Production,,4745,A3790_132_63,4151,2211,Include Good,"{""A6178_413_70647"": 15, ""A2327_978_13"": 48, ""A2227_974_71103"": 23, ""A1397_975_51074"": 13}","{""minWages"": 10, ""bonusWages"": 9, ""wages"": 19, ""surplus"": 12}",1,91,,,,,,,,,,,,,,99,50,149
